name,url,uname,followers,image_path
Aaron Paul,https://twitter.com/aaronpaul_8,aaronpaul_8,2692362,images/aaronpaul_8.jpeg
Sofia Vergara,http://www.twitter.com/SofiaVergara,SofiaVergara,8813728,images/SofiaVergara.jpg
John Stamos,https://twitter.com/JohnStamos,JohnStamos,1671105,images/JohnStamos.jpg
Lena Dunham,https://twitter.com/LenaDunham,LenaDunham,5450748,images/LenaDunham.jpg
Anna Kendrick,http://www.twitter.com/AnnaKendrick47,AnnaKendrick47,7304414,images/AnnaKendrick47.jpeg
Tom Hanks,https://twitter.com/tomhanks,tomhanks,16729972,images/tomhanks.jpg
Jada Pinkett Smith,http://twitter.com/jadapsmith,jadapsmith,1468272,images/jadapsmith.jpg
Steve Carell,http://twitter.com/SteveCarell,SteveCarell,5845400,images/SteveCarell.jpg
Demi Moore,http://twitter.com/justdemi,justdemi,4603615,images/justdemi.jpg
Jim Carrey,http://twitter.com/JimCarrey,JimCarrey,18772626,images/JimCarrey.jpg
Pee Wee Herman,http://twitter.com/PEEWEEHERMAN,PEEWEEHERMAN,2128864,images/PEEWEEHERMAN.png
Leonardo DiCaprio,http://twitter.com/LeoDiCaprio,LeoDiCaprio,19343660,images/LeoDiCaprio.jpg
Dax Shepard,http://twitter.com/daxshepard1,daxshepard1,218,images/daxshepard1.png
Jennifer Love Hewitt,http://twitter.com/TheReal_Jlh,TheReal_Jlh,877712,images/TheReal_Jlh.jpeg
Cameron Diaz,http://twitter.com/CameronDiaz,CameronDiaz,683807,images/CameronDiaz.png
Channing Tatum,http://twitter.com/channingtatum,channingtatum,8145292,images/channingtatum.jpg
William Shatner,http://twitter.com/WilliamShatner,WilliamShatner,2540763,images/WilliamShatner.jpg
Eliza Dushku,http://twitter.com/ElizaDushku,ElizaDushku,1664066,images/ElizaDushku.jpg
Pamela Anderson,http://twitter.com/Pameladanderson,Pameladanderson,2449,images/Pameladanderson.png
Denise Richards,http://twitter.com/DENISE_RICHARDs,DENISE_RICHARDs,2188289,images/DENISE_RICHARDs.jpg
Elizabeth Banks,http://twitter.com/ElizabethBanks,ElizabethBanks,2253559,images/ElizabethBanks.jpg
